Optimizer,Acc,NLL,ECE,FPR@95,AUROC
AdamW,0.8921,0.3040038347244262,0.0162889743819832,0.3375719815816996,0.7006941706730769
AdamW,0.8963,0.2929727435111999,0.0197861198157071,0.3277132314105708,0.7276658028846155
AdamW,0.8991,0.2919714152812958,0.0303168052703142,0.3390566742435804,0.7374267740384616
IVON,0.9089,0.2551900446414947,0.0177428461462259,0.2331082106285157,0.8250315144230769
IVON,0.9085,0.2614542841911316,0.0204798246622085,0.2533428151565972,0.7966763533653847
IVON,0.9125,0.2578224241733551,0.017743406265974,0.2367965304150134,0.813692548076923
uCBOpt,0.9118,0.2701635956764221,0.0244101688086986,0.2577791473863893,0.8016434374999999
uCBOpt,0.9065,0.2683037221431732,0.023212940095365,0.2618752142874635,0.7936333413461538
uCBOpt,0.9096,0.2765850126743316,0.0264212584048509,0.2699904412002457,0.7887395168269231
