optimizer,seed,Acc,NLL,ECE,FPR@95,AUROC
AdamW,0,0.8921,0.3040038347244262,0.0162889743819832,0.3375719815816996,0.7006941706730769
AdamW,1,0.8963,0.2929727435111999,0.0197861198157071,0.3277132314105708,0.7276658028846155
AdamW,2,0.8991,0.2919714152812958,0.0303168052703142,0.3390566742435804,0.7374267740384616
uCBOpt,0,0.9118,0.2701635956764221,0.0244101688086986,0.2577791473863893,0.8016434374999999
uCBOpt,1,0.9065,0.2683037221431732,0.023212940095365,0.2618752142874635,0.7936333413461538
uCBOpt,2,0.9096,0.2765850126743316,0.0264212584048509,0.2699904412002457,0.7887395168269231
IVON,0,0.9092,0.2555139362812042,0.0170115334004163,0.233942138021928,0.8256957932692307
IVON,1,0.9079,0.2617244124412536,0.0210812154233455,0.2547018413187286,0.7968767716346152
IVON,2,0.9127,0.2576974630355835,0.017455115559697146,0.23634476609157268,0.8133329158653846
