optimizer,seed,epoch,train_loss,val_loss
AdamW,0,1,1.0493270483723394,0.6392011793454488
AdamW,0,2,0.5770577131024114,0.5316708006858826
AdamW,0,3,0.4953168090361136,0.4807597622871399
AdamW,0,4,0.4317904082227636,0.4204371375242869
AdamW,0,5,0.38808573789066736,0.38309948293368024
AdamW,0,6,0.36117785746079906,0.35116955240567527
AdamW,0,7,0.3337971229685677,0.3457105992635091
AdamW,0,8,0.3168492418306845,0.3270624043941498
AdamW,0,9,0.303477083435765,0.3177739135424296
AdamW,0,10,0.2857481391783114,0.2965274341106415
AdamW,0,11,0.2781676865418752,0.29987186841169994
AdamW,0,12,0.2641494416925642,0.3075201391379038
AdamW,0,13,0.25417021689591585,0.3031996474266052
AdamW,0,14,0.24819581981499989,0.28908924595514934
AdamW,0,15,0.2372221828478354,0.27740481845537823
AdamW,0,16,0.22790253465263932,0.29859189756711324
AdamW,0,17,0.22354824039671156,0.2855470375219981
AdamW,0,18,0.21428690451604349,0.2782972845633825
AdamW,0,19,0.2060828186052817,0.29002422976493836
AdamW,0,20,0.1971169789367252,0.2816241230567296
AdamW,0,21,0.1912318614721298,0.29861844730377196
AdamW,0,22,0.18263874245572972,0.28610823118686673
AdamW,0,23,0.17778880848707976,0.29746202286084494
AdamW,0,24,0.17058231757305287,0.30746418599287667
AdamW,0,25,0.16321476291285622,0.29457018717130024
AdamW,0,26,0.15544887845604508,0.2984697312513987
AdamW,0,27,0.14922955413217898,0.3144574238459269
AdamW,0,28,0.14399281008596773,0.30695095101992287
AdamW,0,29,0.14032565029020663,0.30813002260526023
AdamW,0,30,0.13614414672939865,0.31633169877529144
AdamW,0,31,0.12766968202590942,0.33109046586354574
AdamW,0,32,0.12358819651162183,0.33444012522697447
AdamW,0,33,0.11745748464487217,0.330809597214063
AdamW,0,34,0.1115844017819122,0.3510092757542928
AdamW,0,35,0.10671176674410149,0.33798329552014666
AdamW,0,36,0.1036709124467991,0.3693918120066325
AdamW,0,37,0.09768272770334173,0.3757927800814311
AdamW,0,38,0.09431604982305455,0.3744378100236257
AdamW,0,39,0.08897474802423407,0.3795472518603007
AdamW,0,40,0.08239435773204874,0.3928377477327983
AdamW,0,41,0.07961749601805651,0.42023134978612264
AdamW,0,42,0.07736257343932434,0.4078904660542806
AdamW,0,43,0.07348063801173811,0.4149526365598043
AdamW,0,44,0.06870389743866744,0.4314505993127823
AdamW,0,45,0.06202169633242819,0.435781979004542
AdamW,0,46,0.06133830800100609,0.4515671869913737
AdamW,0,47,0.059730390701029035,0.4567683618068695
AdamW,0,48,0.05462068546425413,0.4613028570413589
AdamW,0,49,0.051217215690347886,0.4707950360774994
AdamW,0,50,0.047588980533458565,0.5164902140299479
AdamW,0,51,0.047324873869065885,0.49812854448954264
AdamW,0,52,0.041226141511290164,0.5215137793223064
AdamW,0,53,0.039800132327057695,0.534593855381012
AdamW,0,54,0.03713595328066084,0.5432660231590271
AdamW,0,55,0.03465643414744624,0.5539077225526174
AdamW,0,56,0.0345019918470471,0.5437638679345449
AdamW,0,57,0.03004261090799614,0.5643646841843923
AdamW,0,58,0.027900816272254342,0.5785747972329458
AdamW,0,59,0.024708692377640142,0.6049893168608348
AdamW,0,60,0.024619290728811864,0.6037677839597066
AdamW,0,61,0.021730683340518562,0.608360169172287
AdamW,0,62,0.021429247703817156,0.6343271204630534
AdamW,0,63,0.01778937097169735,0.6495771234830221
AdamW,0,64,0.016854164902810696,0.6470567158857982
AdamW,0,65,0.01697727586604931,0.6475008181730906
AdamW,0,66,0.013598175139890777,0.6880666375160217
AdamW,0,67,0.013197484990512882,0.6812644967238108
AdamW,0,68,0.01133383033134871,0.7026065381368002
AdamW,0,69,0.011229290669714963,0.706181415160497
AdamW,0,70,0.010537332086927361,0.7201727028687795
AdamW,0,71,0.009105512433029987,0.7374441057840984
AdamW,0,72,0.007544257816617135,0.736939223130544
AdamW,0,73,0.007247240778196741,0.7761949531237284
AdamW,0,74,0.006208164260067321,0.7636847881476084
AdamW,0,75,0.0055903482187401364,0.7741231090227763
AdamW,0,76,0.005073831437431552,0.7933246013323466
AdamW,0,77,0.004710522058937285,0.7980234965483347
AdamW,0,78,0.00413682762178144,0.8122397933006287
AdamW,0,79,0.0036895980336875828,0.8153328655560811
AdamW,0,80,0.0033598772870997587,0.8241873520215353
AdamW,0,81,0.0032411765215435515,0.8294409716924032
AdamW,0,82,0.0028962944791548783,0.8368544947306316
AdamW,0,83,0.0026238473659312284,0.8463316073417664
AdamW,0,84,0.0023932492893741085,0.858930703163147
AdamW,0,85,0.0022292656129295077,0.8633962049484253
AdamW,0,86,0.0020964016870216088,0.87071067237854
AdamW,0,87,0.0020008781722367364,0.8763902603785197
AdamW,0,88,0.0018308959964800763,0.8842522657712301
AdamW,0,89,0.0017533507267772047,0.8871139424641927
AdamW,0,90,0.0016509419945241125,0.8947012521425883
AdamW,0,91,0.001591229134687671,0.9002504801750183
AdamW,0,92,0.0015298366920884561,0.9023392508824666
AdamW,0,93,0.0014735421978144183,0.9056186397870382
AdamW,0,94,0.0014246271884551754,0.908682541847229
AdamW,0,95,0.0013949200192604353,0.9094562694231669
AdamW,0,96,0.0013638089999418567,0.9112388110160827
AdamW,0,97,0.0013379775137399082,0.9121007084846496
AdamW,0,98,0.0013247584614868241,0.9128324092229207
AdamW,0,99,0.001312757292693412,0.9128570189476013
AdamW,0,100,0.0013050931220943177,0.9128832257588705
