optimizer,seed,epoch,train_loss,val_loss
IVON,1,1,1.2363901986545986,0.6514420830408733
IVON,1,2,0.5747507073084513,0.4960655972957611
IVON,1,3,0.46728316045690466,0.4159161057472229
IVON,1,4,0.4094409490161472,0.3882177284558614
IVON,1,5,0.3698761670236234,0.35265801787376405
IVON,1,6,0.3501733573984217,0.3850085782210032
IVON,1,7,0.33021701863959985,0.3427021276950836
IVON,1,8,0.3146719357172648,0.36490616106987
IVON,1,9,0.3069218517321127,0.3266668274402618
IVON,1,10,0.2966091795541622,0.3304993144671122
IVON,1,11,0.2900489606945603,0.3283753600915273
IVON,1,12,0.28352099637632017,0.3134410777489344
IVON,1,13,0.28073380439369766,0.3107194327513377
IVON,1,14,0.2768640590685385,0.30849846875667575
IVON,1,15,0.27062429735395643,0.3149600129922231
IVON,1,16,0.26328722881387784,0.29483089192708334
IVON,1,17,0.2656209717591604,0.28373871092001596
IVON,1,18,0.25998090759030096,0.28830497415860495
IVON,1,19,0.2598293561758818,0.30818563453356423
IVON,1,20,0.25719486882951526,0.30774363787968956
IVON,1,21,0.2565360569865615,0.283383851925532
IVON,1,22,0.2517396083496235,0.2770487818320592
IVON,1,23,0.24707717378934224,0.2752458814779917
IVON,1,24,0.24871280082066854,0.30222373513380685
IVON,1,25,0.24444021717707315,0.30103849681218464
IVON,1,26,0.2427239253697572,0.2918085156679153
IVON,1,27,0.2412081064383189,0.2798740553458532
IVON,1,28,0.24272526348520207,0.2808936061859131
IVON,1,29,0.24038419840070938,0.30048441302776335
IVON,1,30,0.23711916965025442,0.2948396269083023
IVON,1,31,0.23393621494593445,0.2800587726434072
IVON,1,32,0.23037414161805753,0.2789881833791733
IVON,1,33,0.22887231734505406,0.28120002869764965
IVON,1,34,0.23192302187283834,0.2874613580306371
IVON,1,35,0.2291355096101761,0.277265212615331
IVON,1,36,0.2265711074007882,0.29994726995627086
IVON,1,37,0.22218462112656345,0.28242629214127857
IVON,1,38,0.22391128004038777,0.26289597574869794
IVON,1,39,0.22177834217195158,0.2793935900529226
IVON,1,40,0.2207519317600462,0.2622905958890915
IVON,1,41,0.21912894786287238,0.28732920881112417
IVON,1,42,0.21918526980170497,0.27152019619941714
IVON,1,43,0.21170307141763192,0.276564844250679
IVON,1,44,0.21411022697113177,0.27069313045342763
IVON,1,45,0.21265732244209007,0.2754898464282354
IVON,1,46,0.21357093526698925,0.2625608504215876
IVON,1,47,0.20955221100648244,0.28838590276241305
IVON,1,48,0.20538392555272136,0.2761053746541341
IVON,1,49,0.20751860120561388,0.25354391046365105
IVON,1,50,0.20373890135464845,0.26903409135341644
IVON,1,51,0.1997756563116003,0.26197545127073923
IVON,1,52,0.19797489938471052,0.2554310457309087
IVON,1,53,0.197312193830808,0.2628287033637365
IVON,1,54,0.19466758768646805,0.2576139863729477
IVON,1,55,0.1952967725109171,0.2672499274015427
IVON,1,56,0.19003753611335047,0.26217415297031404
IVON,1,57,0.18758186414065184,0.26437022010485334
IVON,1,58,0.1903404301934772,0.26452956680456796
IVON,1,59,0.18571382299396727,0.256423566142718
IVON,1,60,0.18415382315935913,0.2559192134141922
IVON,1,61,0.1833017624307562,0.26256229853630064
IVON,1,62,0.18095935721750614,0.26481744134426116
IVON,1,63,0.18039710895661953,0.2528424863815308
IVON,1,64,0.17527307129347766,0.27572016962369283
IVON,1,65,0.1745730147847423,0.25844926420847575
IVON,1,66,0.17063414163280416,0.2584912420113881
IVON,1,67,0.16920307893223233,0.25185632713635764
IVON,1,68,0.16737299699032748,0.2566401363213857
IVON,1,69,0.16465444266796112,0.2588361746072769
IVON,1,70,0.16061705549116487,0.26087037511666616
IVON,1,71,0.1591899001598358,0.24863921240965525
IVON,1,72,0.15613170368583115,0.24780731173356374
IVON,1,73,0.15717225631961115,0.2588320868015289
IVON,1,74,0.1528973520950035,0.25167633684476215
IVON,1,75,0.15063511801649024,0.2584401630560557
IVON,1,76,0.15017320950384494,0.2532123534679413
IVON,1,77,0.14873412974675496,0.25406004877885185
IVON,1,78,0.1458958719284446,0.2480553545554479
IVON,1,79,0.14293709582090378,0.24966682569185894
IVON,1,80,0.13923114178357301,0.24754772007465362
IVON,1,81,0.1391205340049885,0.24932676978905996
IVON,1,82,0.1354541593171932,0.24878773681322733
IVON,1,83,0.13422452422866116,0.25258068414529167
IVON,1,84,0.13204820846186743,0.2547578292687734
IVON,1,85,0.1303511192622008,0.25346836145718893
IVON,1,86,0.12827934024952076,0.25444076601664223
IVON,1,87,0.12719430865844092,0.24956287439664204
IVON,1,88,0.1263196628601463,0.24982874544461567
IVON,1,89,0.12427734787155081,0.24900378851095836
IVON,1,90,0.1226634852996579,0.2483135563135147
IVON,1,91,0.12104374703654537,0.24689660676320394
IVON,1,92,0.12035332083481329,0.2460372484922409
IVON,1,93,0.11827548007170359,0.2458946702082952
IVON,1,94,0.11802844375371933,0.24452533789475758
IVON,1,95,0.11800156374110116,0.24505287424723307
IVON,1,96,0.11737410388169466,0.24414385124047597
IVON,1,97,0.11769111496430856,0.24489728983243306
IVON,1,98,0.11558431725811075,0.24461267121632893
IVON,1,99,0.11616689462794198,0.24461623895168305
IVON,1,100,0.11471436817336965,0.2445548665126165
